rank,researcher,institution,publications,theses,citations,research_score
291,RP,CMR Institute of Technology,26,0,173,60.65
292,KN,CMR Institute of Technology,28,0,90,60.5
293,Pratik Nandy,Indian Institute of Science Bangalore,13,0,689,60.45
294,P Preethi,PES University,25,0,209,60.45
295,BS,CMR Institute of Technology,24,0,249,60.45
296,Ramachandran,CMR Institute of Technology,23,0,286,60.3
297,H C Prashanth,International Institute of Information Technology Bangalore,26,0,164,60.2
298,G R Jayanth,Indian Institute of Science Bangalore,28,0,80,60.0
299,Sachin R Rondiya,Indian Institute of Science Bangalore,20,0,398,59.9
300,Mukti Chaturvedi,Dayananda Sagar College of Engineering,24,0,234,59.7
301,L Girisha,PES University,25,0,187,59.35
302,Ambedkar Dukkipati,Indian Institute of Science Bangalore,26,0,140,59.0
303,Mishra,CMR Institute of Technology,24,0,220,59.0
304,Hardik J Pandya,Indian Institute of Science Bangalore,18,0,459,58.95
305,Rohit Pant,Indian Institute of Science Bangalore,16,0,535,58.75
306,Pachaiyappan Rajamalli,Indian Institute of Science Bangalore,21,0,334,58.7
307,P Balachandra,Indian Institute of Science Bangalore,19,0,413,58.65
308,Saha,CMR Institute of Technology,25,0,171,58.55
309,Sayak Dutta Gupta,Indian Institute of Science Bangalore,21,1,264,58.2
310,Pritom J Bora,Indian Institute of Science Bangalore,21,0,323,58.15
311,Phaneendra K Yalavarthy,Indian Institute of Science Bangalore,17,0,482,58.1
312,D V S Muthu,Indian Institute of Science Bangalore,25,0,161,58.05
313,Asish Prosad,Indian Institute of Science Bangalore,25,1,101,58.05
314,Dinesh P A,M.S. Ramaiah Institute of Technology,29,0,0,58.0
315,V Umadevi,B.M.S. College of Engineering,29,0,0,58.0
316,KS,CMR Institute of Technology,26,0,120,58.0
317,Veena MB,B.M.S. College of Engineering,29,0,0,58.0
318,Chaya Ganesh,Indian Institute of Science Bangalore,23,0,236,57.8
319,Rajib Kalsar,Indian Institute of Science Bangalore,18,0,436,57.8
320,Abhishek Banerjee,Indian Institute of Science Bangalore,27,0,75,57.75
321,Manish Arora,Indian Institute of Science Bangalore,26,0,113,57.65
322,K Sudeendra Kumar,PES University,28,0,26,57.3
323,Rashmi Seethur,PES University,28,0,21,57.05
324,Shishir Kolathaya,Indian Institute of Science Bangalore,24,0,178,56.9
325,Madhubanti Mukherjee,Indian Institute of Science Bangalore,11,1,634,56.7
326,A Chandrashekar,International Institute of Information Technology Bangalore,22,0,253,56.65
327,Prakash,CMR Institute of Technology,26,0,92,56.6
328,Seifedine Kadry,R V College of Engineering,9,0,769,56.45
329,MR,CMR Institute of Technology,27,0,49,56.45
330,Subrata Ghosh,Indian Institute of Science Bangalore,17,0,447,56.35
331,Gaurav Tomar,Indian Institute of Science Bangalore,23,0,206,56.3
332,Sumilan Banerjee,Indian Institute of Science Bangalore,19,0,364,56.2
333,Tejas G Murthy,Indian Institute of Science Bangalore,26,0,83,56.15
334,A M Jyothi,International Institute of Information Technology Bangalore,10,0,722,56.1
335,Ranjit Barua,Indian Institute of Science Bangalore,22,0,239,55.95
336,Ashitava Ghosal,Indian Institute of Science Bangalore,25,0,116,55.8
337,Anoop Thomas,Indian Institute of Science Bangalore,17,0,434,55.7
338,Pavankumar Tallapragada,Indian Institute of Science Bangalore,25,0,107,55.35
339,Mahander Pratap Singh,Indian Institute of Science Bangalore,21,1,207,55.35
340,D Banerjee,Indian Institute of Science Bangalore,21,0,265,55.25
341,Gautam,CMR Institute of Technology,23,0,181,55.05
342,Shikhar Vashishth,Indian Institute of Science Bangalore,11,0,661,55.05
343,Mubarakali,CMR Institute of Technology,22,0,218,54.9
344,Nichith Chandrasekaran,Indian Institute of Science Bangalore,23,0,177,54.85
345,Prosenjit Das,Indian Institute of Science Bangalore,23,0,176,54.8
346,Yahia M M Antar,Indian Institute of Science Bangalore,24,0,136,54.8
347,Chandan Dasgupta,Indian Institute of Science Bangalore,21,0,252,54.6
348,Ajith Suresh,Indian Institute of Science Bangalore,14,0,530,54.5
349,Das,CMR Institute of Technology,25,0,86,54.3
350,Arun Malla Chowdhury,Indian Institute of Science Bangalore,15,1,426,54.3
351,Preeta Sharan,Dayananda Sagar College of Engineering,21,0,245,54.25
352,Parimal Parag,Indian Institute of Science Bangalore,21,0,244,54.2
353,Rafiq Mulla,B.M.S. College of Engineering,27,0,0,54.0
354,Naik,CMR Institute of Technology,18,0,359,53.95
355,Pappa,CMR Institute of Technology,25,0,77,53.85
356,Anand,CMR Institute of Technology,20,0,276,53.8
357,Uday Bondhugula,Indian Institute of Science Bangalore,12,0,594,53.7
358,M M Sheikh-Jabbari,Indian Institute of Science Bangalore,10,0,674,53.7
359,M Mathirajan,Indian Institute of Science Bangalore,25,0,71,53.55
360,Naveen Kumar,Indian Institute of Science Bangalore,18,2,230,53.5
361,Amit Kumar,Indian Institute of Science Bangalore,21,0,229,53.45
362,Indrajit Maity,Indian Institute of Science Bangalore,15,0,469,53.45
363,Sruti Menon,Indian Institute of Science Bangalore,23,0,149,53.45
364,RJS,CMR Institute of Technology,14,0,508,53.4
365,S Dasappa,Indian Institute of Science Bangalore,23,0,146,53.3
366,Amrita Mishra,International Institute of Information Technology Bangalore,25,0,64,53.2
367,Prathosh AP,Indian Institute of Science Bangalore,23,0,140,53.0
368,Sarkar,CMR Institute of Technology,23,0,139,52.95
369,Arka Bandyopadhyay,Indian Institute of Science Bangalore,22,0,179,52.95
370,V Balaswamy,Indian Institute of Science Bangalore,21,0,218,52.9
371,Shirish Shevade,Indian Institute of Science Bangalore,18,0,336,52.8
372,Gaurab Banerjee,Indian Institute of Science Bangalore,25,0,56,52.8
373,Baskar Senthilkumar,Indian Institute of Science Bangalore,17,0,375,52.75
374,Sachit Rao,International Institute of Information Technology Bangalore,26,0,15,52.75
375,Raghuraman N Govardhan,Indian Institute of Science Bangalore,23,0,135,52.75
376,Sujoy Saha,Indian Institute of Science Bangalore,18,0,334,52.7
377,Yusuf Olatunji Waidi,Indian Institute of Science Bangalore,21,0,212,52.6
378,Ahmed Aliyu,Indian Institute of Science Bangalore,13,1,469,52.45
379,Pratikash Panda,Indian Institute of Science Bangalore,24,0,87,52.35
380,Arindam Khan,Indian Institute of Science Bangalore,24,0,86,52.3
381,S Natarajan,PES University,25,0,41,52.05
382,Partha Kumbhakar,Indian Institute of Science Bangalore,16,0,400,52.0
383,SO MANJUNATHA et al,B.M.S. College of Engineering,26,0,0,52.0
384,V Prema,B.M.S. College of Engineering,26,0,0,52.0
385,Subramaniam Kalambur,PES University,24,0,79,51.95
386,BK,CMR Institute of Technology,24,0,78,51.9
387,G C Manjunath Patel,PES University,16,0,398,51.9
388,Sushma,CMR Institute of Technology,24,0,72,51.6
389,C Shivakumara,Indian Institute of Science Bangalore,17,0,350,51.5
390,Mahindra Rautela,Indian Institute of Science Bangalore,13,0,506,51.3
391,Upendra Harbola,Indian Institute of Science Bangalore,24,0,66,51.3
392,Soumalya Bhattacharyya,Indian Institute of Science Bangalore,11,0,586,51.3
393,Anuj Dash,Indian Institute of Science Bangalore,18,1,244,51.2
394,J Senthilnath,Indian Institute of Science Bangalore,15,0,421,51.05
395,Vakula Rani,CMR Institute of Technology,22,0,139,50.95
396,Kaup,CMR Institute of Technology,20,0,219,50.95
397,Sami Muhaidat,PES University,21,0,178,50.9
