record_id,source_table,entity_text,entity_label,canonical_name,entity_id,start_char,end_char
701,theses,Indian Institute of Science Bangalore,ORG,Indian Institute of Science Bangalore,INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,,
701,theses,Bengaluru,GPE,Bengaluru,BENGALURU,,
702,theses,Chemical Engineering,DEPARTMENT,Chemical Engineering,CHEMICAL_ENGINEERING,,
702,theses,Indian Institute of Science Bangalore,ORG,Indian Institute of Science Bangalore,INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,,
702,theses,Bengaluru,GPE,Bengaluru,BENGALURU,,
703,theses,Centre for Product Design and Manufacturing,DEPARTMENT,Centre for Product Design and Manufacturing,CENTRE_FOR_PRODUCT_DESIGN_AND_MANUFACTURING,,
703,theses,Indian Institute of Science Bangalore,ORG,Indian Institute of Science Bangalore,INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,,
703,theses,Bengaluru,GPE,Bengaluru,BENGALURU,,
704,theses,Centre for BioSystems Science and Engineering,DEPARTMENT,Centre for BioSystems Science and Engineering,CENTRE_FOR_BIOSYSTEMS_SCIENCE_AND_ENGINEERING,,
704,theses,Indian Institute of Science Bangalore,ORG,Indian Institute of Science Bangalore,INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,,
704,theses,Bengaluru,GPE,Bengaluru,BENGALURU,,
705,theses,Electrical Communication Engineering,DEPARTMENT,Electrical Communication Engineering,ELECTRICAL_COMMUNICATION_ENGINEERING,,
705,theses,Indian Institute of Science Bangalore,ORG,Indian Institute of Science Bangalore,INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,,
705,theses,Bengaluru,GPE,Bengaluru,BENGALURU,,
706,theses,Materials Engineering,DEPARTMENT,Materials Engineering,MATERIALS_ENGINEERING,,
706,theses,Indian Institute of Science Bangalore,ORG,Indian Institute of Science Bangalore,INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,,
706,theses,Bengaluru,GPE,Bengaluru,BENGALURU,,
707,theses,Aerospace Engineering,DEPARTMENT,Aerospace Engineering,AEROSPACE_ENGINEERING,,
