Publication_ID,Subdomain_ID
PUB_000408,ELECTRICAL_AND_ELECTRONIC_ENGINEERING
PUB_000409,CONDENSED_MATTER_PHYSICS
PUB_000410,ELECTRICAL_AND_ELECTRONIC_ENGINEERING
PUB_000411,AEROSPACE_ENGINEERING
PUB_000412,CIVIL_AND_STRUCTURAL_ENGINEERING
PUB_000413,MECHANICS_OF_MATERIALS
PUB_000414,POLYMERS_AND_PLASTICS
PUB_000415,CONDENSED_MATTER_PHYSICS
PUB_000416,MATERIALS_CHEMISTRY
PUB_000417,ELECTRONIC_OPTICAL_AND_MAGNETIC_MATERIALS
PUB_000418,COMPUTATIONAL_MECHANICS
PUB_000419,ASTRONOMY_AND_ASTROPHYSICS
PUB_000420,MATERIALS_CHEMISTRY
PUB_000421,ELECTRONIC_OPTICAL_AND_MAGNETIC_MATERIALS
PUB_000422,SIGNAL_PROCESSING
PUB_000423,MATERIALS_CHEMISTRY
PUB_000424,COMPUTER_NETWORKS_AND_COMMUNICATIONS
PUB_000425,MATERIALS_CHEMISTRY
PUB_000426,MATERIALS_CHEMISTRY
PUB_000427,CONTROL_AND_SYSTEMS_ENGINEERING
PUB_000428,CONDENSED_MATTER_PHYSICS
PUB_000429,ELECTRICAL_AND_ELECTRONIC_ENGINEERING
PUB_000430,ELECTRICAL_AND_ELECTRONIC_ENGINEERING
PUB_000431,ELECTRONIC_OPTICAL_AND_MAGNETIC_MATERIALS
PUB_000432,AEROSPACE_ENGINEERING
PUB_000433,BIOMEDICAL_ENGINEERING
PUB_000434,BIOMEDICAL_ENGINEERING
PUB_000435,ARTIFICIAL_INTELLIGENCE
PUB_000436,CONDENSED_MATTER_PHYSICS
PUB_000437,MECHANICAL_ENGINEERING
PUB_000438,MECHANICS_OF_MATERIALS
PUB_000439,BUILDING_AND_CONSTRUCTION
PUB_000440,MATERIALS_CHEMISTRY
PUB_000441,MATERIALS_CHEMISTRY
PUB_000442,STATISTICAL_AND_NONLINEAR_PHYSICS
PUB_000443,ELECTRONIC_OPTICAL_AND_MAGNETIC_MATERIALS
PUB_000444,BUILDING_AND_CONSTRUCTION
PUB_000445,BIOMEDICAL_ENGINEERING
PUB_000446,MATERIALS_CHEMISTRY
PUB_000447,ELECTRICAL_AND_ELECTRONIC_ENGINEERING
PUB_000448,COMPUTER_VISION_AND_PATTERN_RECOGNITION
PUB_000449,COMPUTER_NETWORKS_AND_COMMUNICATIONS
PUB_000450,MATERIALS_CHEMISTRY
PUB_000451,COMPUTER_VISION_AND_PATTERN_RECOGNITION
PUB_000452,POLYMERS_AND_PLASTICS
PUB_000453,ATOMIC_AND_MOLECULAR_PHYSICS_AND_OPTICS
PUB_000454,CONDENSED_MATTER_PHYSICS
PUB_000455,COMPUTATIONAL_MECHANICS
PUB_000456,MATERIALS_CHEMISTRY
PUB_000457,ELECTRICAL_AND_ELECTRONIC_ENGINEERING
PUB_000458,SOFTWARE
PUB_000459,MECHANICS_OF_MATERIALS
PUB_000460,MATERIALS_CHEMISTRY
PUB_000461,CERAMICS_AND_COMPOSITES
PUB_000462,MATERIALS_CHEMISTRY
PUB_000463,ASTRONOMY_AND_ASTROPHYSICS
PUB_000464,MECHANICAL_ENGINEERING
PUB_000465,MATERIALS_CHEMISTRY
PUB_000466,MATERIALS_CHEMISTRY
PUB_000467,ELECTRICAL_AND_ELECTRONIC_ENGINEERING
PUB_000468,MECHANICS_OF_MATERIALS
PUB_000469,MECHANICS_OF_MATERIALS
PUB_000470,MATERIALS_CHEMISTRY
PUB_000471,ATOMIC_AND_MOLECULAR_PHYSICS_AND_OPTICS
PUB_000472,ATOMIC_AND_MOLECULAR_PHYSICS_AND_OPTICS
PUB_000473,CERAMICS_AND_COMPOSITES
PUB_000474,MATERIALS_CHEMISTRY
PUB_000475,CIVIL_AND_STRUCTURAL_ENGINEERING
PUB_000476,MATERIALS_CHEMISTRY
PUB_000477,ELECTRICAL_AND_ELECTRONIC_ENGINEERING
PUB_000478,MEDIA_TECHNOLOGY
PUB_000479,APPLIED_MATHEMATICS
PUB_000480,COMPUTATIONAL_THEORY_AND_MATHEMATICS
PUB_000481,ELECTRICAL_AND_ELECTRONIC_ENGINEERING
PUB_000482,CIVIL_AND_STRUCTURAL_ENGINEERING
