Person_ID,Publication_ID
TAKASHI_TANIGUCHI,PUB_000076
SUMILAN_BANERJEE,PUB_000076
ARUN_MALLA_CHOWDHURY,PUB_000077
GREESHMA_CHANDAN,PUB_000077
ROHIT_PANT,PUB_000077
BASANTA_ROUL,PUB_000077
DEEPENDRA_KUMAR_SINGH,PUB_000077
GUO_WU,PUB_000078
K_DASH,PUB_000078
M_GALANO,PUB_000078
KEYNA_OREILLY,PUB_000078
M_VINYAS,PUB_000079
KK_SUNNY,PUB_000079
DINESHKUMAR_HARURSAMPATH,PUB_000079
T_NGUYENTHOI,PUB_000079
MAR_LOJA,PUB_000079
VIJAY_KHOPKAR,PUB_000080
BALARAM_SAHOO,PUB_000080
SANDIP_MONDAL,PUB_000081
V_VENKATARAMAN,PUB_000081
ARVIND_KUMAR_JHA,PUB_000082
P_V_SIVAPULLAIAH,PUB_000082
PRITOM_J_BORA,PUB_000083
AMITH_G_ANIL,PUB_000083
K_J_VINOY,PUB_000083
PRAVEEN_C_RAMAMURTHY,PUB_000083
WANGSOO_CHA,PUB_000084
IN_YOUNG_KIM,PUB_000084
JANG_MEE_LEE,PUB_000084
SUNGHO_KIM,PUB_000084
KAVITHA_RAMADASS,PUB_000084
ATUL_H_CHOKSHI,PUB_000085
DEENDAYAL_RATHOD,PUB_000086
KASINATHAN_MUTHUKKUMARAN,PUB_000086
SITHARAM_THALLAK,PUB_000086
R_JAIRAJA,PUB_000087
G_NARAYANA_NAIK,PUB_000087
AHMED_ALIYU,PUB_000088
CHANDAN_SRIVASTAVA,PUB_000088
SHABNAM_PATHAN,PUB_000089
M_JALAL,PUB_000089
SANJAY_PRASAD,PUB_000089
SURYASARATHI_BOSE,PUB_000089
H_SREEHARI,PUB_000090
B_T_RAVISHANKAR,PUB_000090
NIRMAL_IYER,PUB_000090
V_K_AGRAWAL,PUB_000090
TILAK_KATOCH,PUB_000090
AISHWARYA_V_MENON,PUB_000091
GIRIDHAR_MADRAS,PUB_000091
SURYASARATHI_BOSE,PUB_000091
HARISH_KUMAR_CHOUDHARY,PUB_000092
RAJEEV_KUMAR,PUB_000092
SHITAL_PATANGRAO_PAWAR,PUB_000092
SURYASARATHI_BOSE,PUB_000092
BALARAM_SAHOO,PUB_000092
V_BALASWAMY,PUB_000093
SIDDHARTH_RAMACHANDRAN,PUB_000093
V_R_SUPRADEEPA,PUB_000093
K_JEYABANU,PUB_000094
P_DEVENDRAN,PUB_000094
A_MANIKANDAN,PUB_000094
R_PACKIARAJ,PUB_000094
K_RAMESH,PUB_000094
AJAY_KUMAR,PUB_000095
HC_MADHU,PUB_000095
ABHISHEK_PARIYAR,PUB_000095
CHANDRA_S_PERUGU,PUB_000095
SATISH_V_KAILAS,PUB_000095
OM_PRAKASH,PUB_000096
S_SIL,PUB_000096
TARU_VERMA,PUB_000096
SIVA_UMAPATHY,PUB_000096
TIANTIAN_CHEN,PUB_000097
NN_SZE,PUB_000097
SHOBHIT_SAXENA,PUB_000097
ABDUL_RAWOOF_PINJARI,PUB_000097
CHANDRA_R_BHAT,PUB_000097
K_RAM_PRABHAKAR,PUB_000098
RAJAT_ARORA,PUB_000098
ADHITYA_SWAMINATHAN,PUB_000098
KUNAL_SINGH,PUB_000098
R_VENKATESH_BABU,PUB_000098
DEBANJAN_DAS,PUB_000099
SUBRATA_SENAPATI,PUB_000099
KARUNA_KAR_NANDA,PUB_000099
SRIMANTA_BARUI,PUB_000100
ASISH_PANDA,PUB_000100
SHARMISTHA_NASKAR,PUB_000100
R_KUPPURAJ,PUB_000100
SAPTARSHI_BASU,PUB_000100
JAFAR_HASAN,PUB_000101
ANINDO_ROY,PUB_000101
KAUSHIK_CHATTERJEE,PUB_000101
PRASAD_YARLAGADDA,PUB_000101
SURESH_CHAVHAN,PUB_000102
PALLAPA_VENKATARAM,PUB_000102
RAJEEV_KUMAR,PUB_000103
AJAY_KUMAR,PUB_000103
NANCY_VERMA,PUB_000103
AV_ANUPAMA,PUB_000103
REJI_PHILIP,PUB_000103
B_ALEKYA,PUB_000104
SANJAY_RAO,PUB_000104
HARDIK_J_PANDYA,PUB_000104
JOYDIP_DE,PUB_000105
INDU_BALA,PUB_000105
SANTOSH_PRASAD_GUPTA,PUB_000105
UPENDRA_KUMAR_PANDEY,PUB_000105
SANTANU_KUMAR_PAL,PUB_000105
AJAY_DANGI,PUB_000106
CHRISTOPHER_CHENG,PUB_000106
SUMIT_AGRAWAL,PUB_000106
SUDHANSHU_TIWARI,PUB_000106
GAURAV_DATTA,PUB_000106
ABHISHEK_GHOSH,PUB_000107
MANOJIT_GHOSH,PUB_000107
RAJIB_KALSAR,PUB_000107
MAHSA_KARIMIASL,PUB_000108
FARZAD_EBRAHIMI,PUB_000108
VINYAS_MAHESH,PUB_000108
SUJAY_RAY,PUB_000109
JEIL_JUNG,PUB_000109
TANMOY_DAS,PUB_000109
SANJAM_GARG,PUB_000110
MOHAMMAD_HAJIABADI,PUB_000110
MOHAMMAD_MAHMOODY,PUB_000110
AHMADREZA_RAHIMI,PUB_000110
