Institution_ID,Publication_ID
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000173
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000174
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000175
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000176
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000177
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000178
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000179
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000180
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000181
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000182
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000183
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000184
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000185
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000186
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000187
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000188
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000189
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000190
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000191
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000192
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000193
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000194
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000195
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000196
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000197
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000198
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000199
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000200
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000201
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000202
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000203
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000204
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000205
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000206
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000207
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000208
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000209
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000210
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000211
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000212
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000213
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000214
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000215
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000216
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000217
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000218
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000219
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000220
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000221
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000222
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000223
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000224
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000225
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000226
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000227
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000228
INDIAN_INSTITUTE_OF_SCIENCE_BANGALORE,PUB_000229
