Applicant_ID,Patent_ID
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00189
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00190
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00191
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00192
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00193
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00194
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00195
ALL_INDIA_INSTITUTE_OF_MEDICAL_SCIENCE_RISHIKESH,PAT_00195
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00196
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00197
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00198
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00199
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00200
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00201
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00202
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00203
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00204
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00205
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00206
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00207
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00208
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00209
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00210
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00211
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00212
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00213
WIPRO_LIMITED,PAT_00214
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00214
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00215
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00216
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00217
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00218
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00219
INSTITUTE_FOR_STEM_CELL_SCIENCE_AND_REGENERATIVE_MEDICINE,PAT_00219
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00220
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00221
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00222
TRIVENI_TURBINE_LIMITED,PAT_00223
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00223
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00224
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00225
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00226
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00227
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00228
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00229
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00230
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00231
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00232
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00233
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00234
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00235
INDIAN_INSTITUTE_OF_SCIENCE_IISC_BENGALURU,PAT_00236
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00237
INDIAN_INSTITUTE_OF_SCIENCE_IISC,PAT_00238
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00239
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00240
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00241
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00242
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00243
WIPRO_LIMITED,PAT_00244
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00244
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00245
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00246
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00247
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00248
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00249
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00250
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00251
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00252
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00253
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00254
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00255
INDIAN_INSTITUTE_OF_SCIENCE_IISC,PAT_00256
INDIAN_INSTITUTE_OF_SCIENCE_IISC,PAT_00257
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00258
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00259
INDIAN_INSTITUTE_OF_SCIENCE,PAT_00260
