Department_ID,Thesis_ID
ELECTRONIC_SYSTEMS_ENGINEERING,429860
CIVIL_ENGINEERING,429851
CIVIL_ENGINEERING,429855
ELECTRONIC_SYSTEMS_ENGINEERING,429868
NEUROSCIENCE,430427
COMPUTER_SCIENCE_AND_AUTOMATION,430425
NANO_SCIENCE_AND_ENGINEERING,430420
CIVIL_ENGINEERING,429873
ELECTRONIC_SYSTEMS_ENGINEERING,429877
CIVIL_ENGINEERING,429878
CHEMICAL_ENGINEERING,430428
AEROSPACE_ENGINEERING,429847
MATERIALS_ENGINEERING,429852
CIVIL_ENGINEERING,429861
ENERGY_RESEARCH,429870
ELECTRONICS_AND_COMMUNICATION_ENGINEERING,429856
MECHANICAL_ENGINEERING,429869
AEROSPACE_ENGINEERING,427799
MECHANICAL_ENGINEERING,427797
AEROSPACE_ENGINEERING,425726
ELECTRONICS_AND_COMMUNICATION_ENGINEERING,427795
ELECTRONICS_AND_COMMUNICATION_ENGINEERING,427793
BIOSYSTEMS_AND_BIOMEDICAL_ENGINEERING,425779
ELECTRONICS_AND_COMMUNICATION_ENGINEERING,427791
ELECTRONICS_AND_COMMUNICATION_ENGINEERING,429832
CHEMICAL_ENGINEERING,429822
ENERGY_RESEARCH,431383
ELECTRONICS_AND_COMMUNICATION_ENGINEERING,431366
ELECTRONICS_AND_COMMUNICATION_ENGINEERING,431352
BIOSYSTEMS_AND_BIOMEDICAL_ENGINEERING,431381
MATERIALS_ENGINEERING,429963
ELECTRONICS_AND_COMMUNICATION_ENGINEERING,429206
MECHANICAL_ENGINEERING,426012
PRODUCT_DESIGN_AND_MANUFACTURING,429217
CHEMICAL_ENGINEERING,429216
CIVIL_ENGINEERING,429203
ELECTRICAL_ENGINEERING,426066
MATERIALS_ENGINEERING,430024
DATA_SCIENCE,430017
ELECTRONIC_SYSTEMS_ENGINEERING,430033
INSTRUMENTATION_AND_APPLIED_PHYSICS,426166
CIVIL_ENGINEERING,426195
ELECTRONIC_SYSTEMS_ENGINEERING,430040
AEROSPACE_ENGINEERING,427133
ELECTRONICS_AND_COMMUNICATION_ENGINEERING,427124
BIOSYSTEMS_AND_BIOMEDICAL_ENGINEERING,428802
MATERIALS_ENGINEERING,428806
CHEMICAL_ENGINEERING,427141
MATERIALS_ENGINEERING,429703
MATERIALS_ENGINEERING,428833
ELECTRONICS_AND_COMMUNICATION_ENGINEERING,428815
MATERIALS_ENGINEERING,428831
CHEMICAL_ENGINEERING,428810
MATERIALS_ENGINEERING,428853
ELECTRONIC_SYSTEMS_ENGINEERING,428847
MATERIALS_ENGINEERING,428845
MATERIALS_ENGINEERING,429742
ELECTRONICS_AND_COMMUNICATION_ENGINEERING,429762
MATERIALS_ENGINEERING,576534
ENERGY_RESEARCH,428960
COMPUTER_SCIENCE_AND_AUTOMATION,428963
ELECTRONIC_SYSTEMS_ENGINEERING,428971
ENERGY_RESEARCH,428985
AEROSPACE_ENGINEERING,428980
ELECTRONICS_AND_COMMUNICATION_ENGINEERING,428988
CHEMICAL_ENGINEERING,429813
CIVIL_ENGINEERING,434398
ELECTRONIC_SYSTEMS_ENGINEERING,434385
MATERIALS_ENGINEERING,434438
AEROSPACE_ENGINEERING,434006
ELECTRONIC_SYSTEMS_ENGINEERING,433970
CHEMICAL_ENGINEERING,433984
AEROSPACE_ENGINEERING,433998
MATERIALS_ENGINEERING,433981
ELECTRICAL_ENGINEERING,433996
ELECTRONICS_AND_COMMUNICATION_ENGINEERING,433990
MATERIALS_ENGINEERING,434557
MECHANICAL_ENGINEERING,434569
EARTH_SCIENCES,434566
MATERIALS_ENGINEERING,431341
COMPUTER_SCIENCE_AND_AUTOMATION,440459
AEROSPACE_ENGINEERING,440764
AEROSPACE_ENGINEERING,440763
MECHANICAL_ENGINEERING,429710
DATA_SCIENCE,457881
ELECTRICAL_ENGINEERING,507501
AEROSPACE_ENGINEERING,483415
COMPUTER_SCIENCE_AND_AUTOMATION,433713
MATERIALS_ENGINEERING,433715
CIVIL_ENGINEERING,433725
PRODUCT_DESIGN_AND_MANUFACTURING,431394
CIVIL_ENGINEERING,433704
ELECTRONICS_AND_COMMUNICATION_ENGINEERING,433718
MATERIALS_ENGINEERING,433730
ELECTRONICS_AND_COMMUNICATION_ENGINEERING,431630
ENERGY_RESEARCH,455544
MATERIALS_ENGINEERING,455547
ELECTRONICS_AND_COMMUNICATION_ENGINEERING,455545
MATERIALS_ENGINEERING,454896
ELECTRONIC_SYSTEMS_ENGINEERING,454886
ELECTRONIC_SYSTEMS_ENGINEERING,454922
COMPUTER_SCIENCE_AND_AUTOMATION,454921
ELECTRONICS_AND_COMMUNICATION_ENGINEERING,455161
ELECTRONICS_AND_COMMUNICATION_ENGINEERING,455158
