Person_ID,Patent_ID
AKSHAY_SALVI,PAT_00075
DR_SANDEEP_KUMAR_SINGH,PAT_00075
PROF_S_KUMAR,PAT_00075
PROF_SURYASARATHI_BOSE,PAT_00075
SK_SAFIKUL_ISLAM,PAT_00076
RIA_SEN_GUPTA,PAT_00076
ANJALI_KUMARI,PAT_00076
SURYASARATHI_BOSE,PAT_00076
MUKHERJEE_SANTANU,PAT_00077
DE_MRINMOY,PAT_00077
CHAKRABARTY_ADITYA,PAT_00077
JAISWAL_KOMAL,PAT_00077
R_V_RAVIKRISHNA,PAT_00078
PRASAD_BOGGAVARAPU,PAT_00078
M_HIMABINDU,PAT_00078
PROF_AMBARISH_GHOSH,PAT_00079
PROF_RAMRAY_BHAT,PAT_00079
PROF_DEEPAK_SAINI,PAT_00079
DEBAYAN_DASGUPTA,PAT_00079
PEDDI_SHANMUKH_SRINIVAS,PAT_00079
PARUL_YADAV,PAT_00079
MALAY_PAL,PAT_00079
PRAJWAL_BRAMHAVAR_HEGDE,PAT_00079
MIR_MEHAK_ASHRAF,PAT_00080
SHRIVASTAVA_MAYANK,PAT_00080
NISHANT_KUMAR,PAT_00081
SUDHAN_MAJHI,PAT_00081
SUSHANT_KUMAR_JHA,PAT_00081
RATHNA_G_N,PAT_00082
PRASHANT_C_MURAL,PAT_00082
VIRAT_BHOLA,PAT_00082
DEBASISH_ROY,PAT_00083
RAM_MOHAN_VASU,PAT_00083
SRIRAM_CHANDRAN_RESIKENDRAN,PAT_00083
GINJALA_RAMACHANDRA_REDDY,PAT_00083
SREENIVAS_BHASKARA,PAT_00084
SHABARI_GIRISHAN_K_V,PAT_00084
SARAVANAN_M,PAT_00084
RATHIN_K_JOSHI,PAT_00084
NITU_BHASKAR,PAT_00084
HARDIK_JEETENDRA_PANDYA,PAT_00084
VINOD_JOHN,PAT_00085
SHIMUL_KUMAR_DAM,PAT_00085
DEY_INDRANIL,PAT_00086
SAMANTA_KETAKI,PAT_00086
REGE_SIDDHESH_SADASHIV,PAT_00086
SINGH_SATYENDRA_PRATAP,PAT_00086
MISRA_ASHOK,PAT_00086
BOSE_SURYASARATHI,PAT_00086
TADISETTI_CHARAN_DIXIT_RAO,PAT_00087
MATHANGI_KRISHNAN,PAT_00087
ASHITAVA_GHOSAL,PAT_00087
BALAN_GURUMOORTHY,PAT_00087
SHARMA_DEEPAK,PAT_00088
BHAT_NAVAKANTA,PAT_00088
GOSWAMI_SREEBRATA,PAT_00088
GOSWAMI_SREETOSH,PAT_00088
SREENIVASAN_RAMASWAMI,PAT_00089
SAQUIB_SAROSH,PAT_00089
BIKRAMJIT_BASU,PAT_00090
DHRMENDRA_SABLANIYA,PAT_00090
MONDAL_PRITIRANJAN,PAT_00091
MANDAL_ARKODIP,PAT_00091
CHATTERJEE_KAUSHIK,PAT_00091
DIBAKAR_SEN,PAT_00092
SANKAR_B,PAT_00092
KISHORE_KUMAAR_H,PAT_00092
GAURAB_BANERJEE,PAT_00093
EASHA,PAT_00093
SASWAT_CHOUDHURY,PAT_00094
SONAL_ASTHANA,PAT_00094
KAUSHIK_CHATTERJEE,PAT_00094
C_M_CHANDRASHEKAR,PAT_00095
KODAKKADEN_MUHAMMED_SHAFI,PAT_00095
KANAD_SENGUPTA,PAT_00095
SOUMYA_ASOKAN,PAT_00095
YAGNASENI_ROY,PAT_00096
SUBHASH_KUMAR,PAT_00096
RASMI_MOHAN_THATTARAMPILLY,PAT_00096
LAKSHMINARAYANA_RAO,PAT_00096
SURYASARATHI_BOSE,PAT_00096
AMIT_NAIN,PAT_00097
KAUSHIK_CHATTERJEE,PAT_00097
SRISHTI_CHAKRABORTY,PAT_00097
SOUVIK_DEBNATH,PAT_00097
PRAMOD_KUMAR,PAT_00098
KUNDAN_KUMAR,PAT_00098
VINOD_LAGURI,PAT_00098
VIJAY_IRAPPA_BIRADAR,PAT_00098
CHETAN_KENCHAPPA,PAT_00098
ANUROOP_KILLIYOT,PAT_00098
SOUMI_DUTTA,PAT_00099
ASHOK_MISRA,PAT_00099
SURYASARATHI_BOSE,PAT_00099
PUBALI_BARMAN,PAT_00100
SHARATHCHANDRA_CHINNAMSHETTI,PAT_00100
PAWAN_KUMAR_JHA,PAT_00100
PRABEER_BARPANDA,PAT_00100
MANOJ_VARMA,PAT_00101
SIMRAN_NASA,PAT_00101
ANUMOL_DOMINIC,PAT_00101
AVISEKH_PAL,PAT_00101
TAMBE_SUMIT_SUNIL,PAT_00102
DE_SATYAJIT,PAT_00102
JOSEPH_ROBIN,PAT_00102
DIWAN_SOURABH_SUHAS,PAT_00102
ROJA_PERI,PAT_00103
VINOD_JOHN,PAT_00103
ARATHI_RAMACHANDRAN,PAT_00104
VIVEKANAND_DABADE,PAT_00104
DR_DEBASHIS_PANDA,PAT_00105
DR_UPENDRA_BEHERA,PAT_00105
DIBAKAR_SEN,PAT_00106
VINAY_PANDU,PAT_00106
VIVEK_VANAMANE,PAT_00106
SHASHWAT_SINGH,PAT_00107
PAWAN_KUMAR_JHA,PAT_00107
PRABEER_BARPANDA,PAT_00107
YAGNASENI_ROY,PAT_00108
MILANA_M_MAVINKURVE,PAT_00108
SURYASARATHI_BOSE,PAT_00108
RIA_SEN_GUPTA,PAT_00108
SAMIR_MANDAL,PAT_00108
AMIT_MALAKAR,PAT_00108
PAWAN_KUMAR_JHA,PAT_00109
SHARATHCHANDRA_CHINNAMSHETTI,PAT_00109
SAI_GAUTAM_GOPALAKRISHNAN,PAT_00109
PRABEER_BARPANDA,PAT_00109
ABHRA_ROY_CHOWDHURY,PAT_00110
MUKIL_SARAVANAN,PAT_00110
ABHRA_ROY_CHOWDHURY,PAT_00111
JAYESH_PRAKASH,PAT_00111
CHOUDHURY_SASWAT,PAT_00112
JOSHI_AKSHAT,PAT_00112
CHATTERJEE_KAUSHIK,PAT_00112
SWATHI_PADMANABHAN,PAT_00113
JAYA_PRAKASH,PAT_00113
AJAY_KUMAR,PAT_00114
SANDESH_JAIN,PAT_00114
SUDHAN_MAJHI,PAT_00114
CHANDRASHEKAR_C_M,PAT_00115
MUHAMMED_SHAFI_K,PAT_00115
PANDYA_HARDIK_JEETENDRA,PAT_00116
G_K_ANIL_VISHNU,PAT_00116
R_S_HARI,PAT_00116
A_AJAY_KRISHNAN,PAT_00116
ABHRA_ROY_CHOWDHURY,PAT_00117
DARREN_ALTON_DSOUZA,PAT_00117
BINIL_JOHN,PAT_00117
SAURABH_KALRA,PAT_00117
ABHRA_ROY_CHOWDHURY,PAT_00118
DARREN_ALTON_DSOUZA,PAT_00118
BINIL_JOHN,PAT_00118
SAURABH_KALRA,PAT_00118
HARDIK_J_PANDYA,PAT_00119
VISHNU_MAHADEVA_IYER,PAT_00120
HIMANSHU_BHUSAN_SANDHIBIGRAHA,PAT_00120
MAHULKAR_SUYOG_V,PAT_00121
DASH_SUSMITA,PAT_00121
BOBJI_M_S,PAT_00121
ARAKERI_JAYWANT_H,PAT_00121
SHANKAR_KUMAR_SELVARAJ,PAT_00122
RAHUL_K_DASH,PAT_00122
AMBARISH_GHOSH,PAT_00123
NARINDER_N,PAT_00123
JYOTIPRAKASH_BEHERA,PAT_00123
SAYANTA_GOSWAMI,PAT_00123
CHITHRA_PARMESWARAM,PAT_00124
SANJIV_SAMBANDAN,PAT_00124
HASTHI_VENKATESWARLU,PAT_00125
GALI_MADHAVI_LATHA,PAT_00125
ERODE_N_PRABHAKARAN,PAT_00126
VARUN_RAGHUNATHAN,PAT_00127
JYOTHSNA_KM,PAT_00127
LAL_KRISHNA_AS,PAT_00127
ASISH_PROSAD,PAT_00127
URMILA_BAG,PAT_00127
RABINDRA_BISWAS,PAT_00127
DR_DEBASHIS_PANDA,PAT_00128
DR_UPENDRA_BEHERA,PAT_00128
FAHEEM_AHMAD,PAT_00129
VARUN_RAGHUNATHAN,PAT_00129
ERODE_N_PRABHAKARAN,PAT_00130
JEEVESH_KUMAR,PAT_00131
AADIL_BASHIR_DAR,PAT_00131
MAYANK_SHRIVASTAVA,PAT_00131
MONISHMURALI_M,PAT_00132
MAYANK_SHRIVASTAVA,PAT_00132
VIHAN_SHAHU,PAT_00133
VINOD_JOHN,PAT_00133
UTPREKSH_PATBHAJE,PAT_00134
MAYANK_SHRIVASTAVA,PAT_00134
RASIK_RASHID_MALIK,PAT_00135
MAYANK_SHRIVASTAVA,PAT_00135
ANAND_KUMAR_RAI,PAT_00136
MAYANK_SHRIVASTAVA,PAT_00136
RASIK_RASHID_MALIK,PAT_00137
MAYANK_SHRIVASTAVA,PAT_00137
SAMBANDAN_SANJIV,PAT_00138
UPADHYE_VIVEKANANDA,PAT_00138
VENKATA_SAI_PRANEETH_CHEPPALLI,PAT_00138
GURUNATH_GURRALA,PAT_00139
VINOD_JOHN,PAT_00139
RAJESH_KB,PAT_00139
NITHYADAS_P_V,PAT_00140
UTSAB_KUNDU,PAT_00140
VINOD_JOHN,PAT_00140
SYAM_SUNDAR_NAIR,PAT_00141
JOSHUA_THOMAS_MATHEW,PAT_00141
SHUBHAM_AGRAWAL,PAT_00141
B_PRATHAP_REDDY,PAT_00141
B_SUBBA_REDDY,PAT_00141
L_UMANAND,PAT_00141
SUNDARAM_SURESH,PAT_00142
RAGHAVENDRA_VARUN,PAT_00142
DEBASIS_DAS,PAT_00143
DIPSHIKA_CHAKRAVORTTY,PAT_00143
RESHMA_RAMAKRISHNAN,PAT_00143
ABHILASH_VIJAY_NAIR,PAT_00143
KIRTI_PARMAR,PAT_00143
SASWAT_CHOUDHURY,PAT_00144
AKSHAT_JOSHI,PAT_00144
VAGEESH_BAGHEL,PAT_00144
GK_ANANTHASURESH,PAT_00144
KAUSHIK_CHATTERJEE,PAT_00144
MUHAMMED_AJNAS_N,PAT_00145
INDRANIL_DEY,PAT_00145
SIDDHESH_REGE,PAT_00145
RIYA_JOSE,PAT_00145
KETAKI_SAMANTA,PAT_00145
KUNAL_MANNA,PAT_00145
SURYASARATHI_BOSE,PAT_00145
DASGUPTA_SUBHO,PAT_00146
PRADHAN_JYOTI_RANJAN,PAT_00146
UMANAND_LOGANATHAN,PAT_00147
PRATHAP_REDDY_B,PAT_00147
SYAM_SUNDAR_NAIR,PAT_00147
SAINI_JATIN_RAO,PAT_00148
SHUBHAM_SHARMA,PAT_00148
CAMERON_TROPEA,PAT_00148
SAPTARSHI_BASU,PAT_00148
MADHAVI_LATHA_GALI,PAT_00149
VENKATESWARLU_HASTHI,PAT_00149
AARYA_KRISHNA,PAT_00149
G_R_JAYANTH,PAT_00150
SREEDHARAN_DEEPAK,PAT_00150
PANAGANTI_KISHORE,PAT_00150
KUMAR_RAKESH,PAT_00150
PANDEY_PIYUSH_KUMAR,PAT_00150
INDRAKUMAR_SUSHMA,PAT_00151
GUGULOTHU_BHARATH_SRIRAM,PAT_00151
JOSHI_AKSHAT,PAT_00151
CHATTERJEE_KAUSHIK,PAT_00151
DASH_TAPAN_KUMAR,PAT_00151
MISHRA_VIVEK,PAT_00151
TANDON_BHARAT,PAT_00151
MISRA_ABHA,PAT_00152
PANWAR_VINOD,PAT_00152
CHAUHAN_PANKAJ_SINGH,PAT_00152
TRIPATHI_SANDEEP,PAT_00153
H_SUPRIYA,PAT_00153
BOSE_SURYASARATHI,PAT_00153
CHANDRA_NAGASUMA,PAT_00154
THAKUR_CHANDRANI,PAT_00154
SINGH_AMIT,PAT_00154
SRIVATHSA_ACHARYA,PAT_00155
SHOBHIT_BHATNAGAR,PAT_00155
MOHAMMED_SAADAT_FARDEEN,PAT_00155
DUDA_GAYATHRI_REDDY,PAT_00155
ARIJIT_DEY,PAT_00155
GAYATHRI_R,PAT_00155
P_VIJAY_KUMAR,PAT_00155
ROY_ABHIJIT_CHANDRA,PAT_00156
BID_AVEEK,PAT_00156
SHISHIR_N_Y,PAT_00157
AMAN_SINGH,PAT_00157
SHAHNAWAZ_AHMED,PAT_00158
AMRIT_AMBIRAJAN,PAT_00158
SUSMITA_DASH,PAT_00158
SOHAM_MUKHERJEE,PAT_00158
SRUTHY_S,PAT_00159
NEELESH_B_MEHTA,PAT_00159
PAWAN_KUMAR_JHA,PAT_00160
PRABEER_BARPANDA,PAT_00160
SHISHIR_N_Y,PAT_00161
ADITYA_VARMA_SAGI,PAT_00161
ADITYA_RAJESH_SHIRWATKAR,PAT_00161
BASU_SAPTARSHI,PAT_00162
KUMAR_ALOKE,PAT_00162
SHARMA_SHUBHAM,PAT_00162
KIRAN_SATHEESH,PAT_00163
GAURAV_TOMAR,PAT_00163
PRIYABRATA_MAHARANA,PAT_00164
JYOTI_SHIVAJI_SONAWANE,PAT_00164
AHMAD_REHAN_SHAIKH,PAT_00164
CHINMAYEE_PRASAD_CURPOD,PAT_00164
NIKHIL_MURALIDHAR,PAT_00164
GONDI_KONDAIAH_ANANTHASURESH,PAT_00164
PAVAN_BELEHALLI,PAT_00164
AMBARISH_GHOSH,PAT_00165
GOURI_PATIL,PAT_00165
INDRANIL_DEY,PAT_00166
KETAKI_SAMANTA,PAT_00166
KUNAL_MANNA,PAT_00166
MUHAMMED_AJNAS_N,PAT_00166
SURYASARATHI_BOSE,PAT_00166
ASHOK_MISRA,PAT_00166
MONDAL_PRITIRANJAN,PAT_00167
MANDAL_ARKODIP,PAT_00167
CHATTERJEE_KAUSHIK,PAT_00167
SARAVANAKUMAR_DHARMARAJ,PAT_00168
PROSENJIT_SEN,PAT_00168
MAYANK_SHRIVASTAVA,PAT_00169
JATIN,PAT_00169
PROSENJIT_SEN,PAT_00170
DIGBIJOY_NATH,PAT_00170
MURALIDHARAN_R,PAT_00170
ROOPA_J,PAT_00170
SHONKHO_SHUVRO,PAT_00170
DASAPPA_SRINIVASAIAH,PAT_00171
